seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT16-02,0.3545725415763093,0.7171650444351293,0.2542870325350506,0.3545725415763093,0.3542229755597381,0.35341389265288004,0.3521055168740006,0.350286682515758,0.34880940486964046,0.34671763237488246,0.34526616885293643,0.3425707690945285,0.33765223612941536,0.33215033811735395,0.3186362462766547,0.286747529575216,0.24755463872066918,0.19305702445752965,0.11132456152613479,0.04668930585182968,0.010755231983812962,0.0014948511302171718,0.264948818323132,0.33511783210993984,0.3334252011906074,0.3307844647375949,0.3277896701245952,0.32314171634852046,0.31974904528096015,0.31572935929511586,0.31273062730627305,0.30536369522987267,0.2957844555144893,0.28675531914893615,0.2680714997116947,0.2388487734931121,0.20078427479400376,0.15239138719512196,0.08855690050848221,0.03588404059435619,0.006909469302809573,0.00045492142266335815,0.2356985607004815,0.3751566619070242,0.37631803464869407,0.3775914313846127,0.3782251434768585,0.3797119150520265,0.3805109122956235,0.38074734914746894,0.3811866090034003,0.38431134306805553,0.38544632903337156,0.3847316501012214,0.378738722879789,0.344251906823631,0.30521961550522386,0.2445742858464395,0.1399457064082671,0.060748211316775415,0.016741519493920727,0.004912012910777221,0.2988983873843779,0.3404923456513206,0.33920260191779283,0.33718387259574945,0.3348847642012,0.33129591207312287,0.3286603487915662,0.3255201031794987,0.323164918970448,0.3173330342623227,0.3096506476756575,0.30230471597599956,0.28677171535916557,0.26153759883362304,0.22682666965737677,0.1793865305893568,0.11035720293837269,0.046991532552010315,0.009308585207200135,0.0006168339595132619,0.24797315444164722,0.9550173010380623,0.9513998112614029,0.9457376533501101,0.9392890846178044,0.9292230261088392,0.9218307643913181,0.9130229631959735,0.9064171122994652,0.890059767222397,0.8685121107266436,0.8479081472161057,0.8043409877319911,0.7335640138408305,0.6362063541994338,0.5031456432840515,0.3095312991506763,0.13180245360176157,0.026108839257628184,0.0017301038062283738,0.6955182861210907,0.4470222706589573,0.4483501391507857,0.44995939879593655,0.4511026559136094,0.4534282385744549,0.4550377290372375,0.4558132292814852,0.4569594622019081,0.46109321467852993,0.4647874992124798,0.4662156553147883,0.46604057380148534,0.4423554166035095,0.4079393682976677,0.3461512345294589,0.22452677297891507,0.11146005463582653,0.028626841879792083,0.007194413621216348,0.37074021942989704,0.7097992242251863,0.7116398084471096,0.7124603760623259,0.7126167019106139,0.7129755880030761,0.7139470483328143,0.7129659985280016,0.7130584971112954,0.7153496415501602,0.7164899329382055,0.7134380548951426,0.6972285646667922,0.660264720294896,0.6144631413570945,0.5221335481204868,0.3408294522567888,0.1546666504209201,0.052528440881618954,0.0270613669979516,0.5744166714210779,0.7171650444351293,0.7195947494208661,0.7231450584045589,0.7268932072125156,0.7322768534016426,0.7359282653972188,0.7398989953378058,0.7425434968673619,0.7482714915333376,0.7551252883211518,0.7606572098416199,0.7704768974599616,0.7843331658396581,0.8007197048735127,0.8203582712342168,0.8479423531883542,0.8809425699979149,0.9190519127315867,0.9597578159305216,0.7834253869173122,0.3574044932558097,0.3572786818457367,0.35681611663885915,0.35589582462879893,0.3546787352269562,0.35363660607193464,0.352052434134185,0.350978830716617,0.34922010909627543,0.3454760562316701,0.3410369367250817,0.3295626696596214,0.30005802289648675,0.26311964749739797,0.20945962047459749,0.1242739583438584,0.053428939251763674,0.012483583648422562,0.0017406597522017268,0.27203168032085656,6072.0,6049.0,6013.0,5972.0,5908.0,5861.0,5805.0,5763.0,5659.0,5522.0,5391.0,5114.0,4664.0,4045.0,3199.0,1968.0,838.0,166.0,11.0,4422.105263157895,11761.0,11784.0,11820.0,11861.0,11925.0,11972.0,12028.0,12070.0,12174.0,12311.0,12442.0,12719.0,13169.0,13788.0,14634.0,15865.0,16995.0,17667.0,17822.0,13410.894736842105,286.0,309.0,345.0,386.0,450.0,497.0,553.0,595.0,699.0,836.0,967.0,1244.0,1694.0,2313.0,3159.0,4390.0,5520.0,6192.0,6347.0,1935.8947368421052,0.26759378679975326,0.7536822117913354,0.27409858128189313,0.31531430494027923,0.8843976093111041,0.14814814814814814,0.2962962962962963,0.5555555555555556,0.1899262646163113,0.46488363440949115,1.225,0.2739828151186437,4237.955076902679,5623,12210,735,116,8,16,30,223.0,600,0.3290479930552685,0.2231817417147984,0.6259830135262662,3980,13853,2378,6358,17833,76,54
MOT16-04,0.5799789599543898,0.7602036407204311,0.4409021168985762,0.5799789599543898,0.5799789599543898,0.5799539972017966,0.5795885480276013,0.5782900087202163,0.5764639391238706,0.5735285065380922,0.5701375416910165,0.5666446088322629,0.5627868193188432,0.5558536230251375,0.5458123572373814,0.5138857899310788,0.45148243224604206,0.339580235653151,0.21681477473044347,0.11586779859589982,0.052783227088694734,0.0012626770227989596,0.4495102528891109,0.5509860813254278,0.5509860813254278,0.5509534722368228,0.5504645003993442,0.5487067517635204,0.5468556690222064,0.5440388479571333,0.540910325235519,0.5373457819273091,0.5333513479806273,0.5253928866832093,0.5134381026630012,0.4758322663252241,0.3993739922223276,0.2774343255926715,0.1451457667111677,0.0515751960085531,0.011698553109785367,0.0002847573460615347,0.4134091950439652,0.6104974433847864,0.6104974433847864,0.6104810221175369,0.6102534945687539,0.6094682325501157,0.6076752824093249,0.6046166538418455,0.6009440036182373,0.5975409568993396,0.5938468238586408,0.5880803833883465,0.5802279335481322,0.5549825511677158,0.5103897364286261,0.41564696870117795,0.3238719778507742,0.2603062671683028,0.23815501248323465,0.005598989054912432,0.5017411145486627,0.5510440103454801,0.5510440103454801,0.5510229829467796,0.5507075719662721,0.5495720924364447,0.5483735307105158,0.5465441470235717,0.5445044893496226,0.5421704480938663,0.539542023256303,0.5342641461824758,0.5262316798788822,0.5001156506928528,0.44268982484176883,0.3368799545808188,0.19660617784973822,0.07607712849843346,0.017936371091532267,0.00044157537271064196,0.4266193587086078,0.9998092403952539,0.9998092403952539,0.9997710884743047,0.9991988096600664,0.9971386059288085,0.994963946434703,0.9916447293121209,0.9879439929800465,0.9837091297546832,0.9789401396360307,0.9693640074777765,0.9547899736751746,0.9074052878562435,0.8032123917439243,0.6112319255274503,0.3567204608752051,0.13803364999427722,0.032543588569684485,0.0008011903399336157,0.7740542841595232,0.6218027687734535,0.6218027687734535,0.6217923706454049,0.6216671925938199,0.621226039827041,0.6201368592746559,0.6183607071671265,0.6161762410149807,0.6142246296952618,0.612108636696829,0.6089032886296317,0.6041997907355614,0.5883672841382859,0.5576168453573347,0.4831562691164064,0.4022019726193184,0.3346466383003859,0.35321871524902915,0.010994513560574666,0.5332949227457133,0.9495322781491783,0.9495322781491783,0.9494989345623541,0.9489223980838527,0.9469474614980689,0.944913934952004,0.9418594958973454,0.9383083751242245,0.9344358693266254,0.9299449559674275,0.922123372090356,0.9100734285502179,0.8759694776327269,0.8132873564482487,0.6926387337593548,0.5317574854560249,0.3762511016034911,0.35671258769891917,0.011434095623883977,0.7854812431880781,0.7602036407204311,0.7602036407204311,0.7602271189312824,0.7605562094922965,0.7616722473212251,0.7627311294034934,0.7641997943227459,0.765659470934048,0.7671150159978756,0.7685289258914264,0.7709230680528001,0.7738585663050297,0.7814017812080332,0.7949307177759997,0.816327268826073,0.8464243434367799,0.8819253992762841,0.9188974883109773,0.9560023745491533,0.7985151684987571,0.5800094477751335,0.5800094477751335,0.5799905808197269,0.5797164999186163,0.5787458266252196,0.5772634062023256,0.5748475392225643,0.5720285900353811,0.5691827899335613,0.5660435644444873,0.5605267735957292,0.5525706472331714,0.5268353250309072,0.47533603168771565,0.37419664875264164,0.2523395166791674,0.14072438785196587,0.06535775915075269,0.0015723789869893842,0.4582787979853258,26206.0,26206.0,26205.0,26190.0,26136.0,26079.0,25992.0,25895.0,25784.0,25659.0,25408.0,25026.0,23784.0,21053.0,16021.0,9350.0,3618.0,853.0,21.0,20288.736842105263,21351.0,21351.0,21352.0,21367.0,21421.0,21478.0,21565.0,21662.0,21773.0,21898.0,22149.0,22531.0,23773.0,26504.0,31536.0,38207.0,43939.0,46704.0,47536.0,27268.263157894737,5.0,5.0,6.0,21.0,75.0,132.0,219.0,316.0,427.0,552.0,803.0,1185.0,2427.0,5158.0,10190.0,16861.0,22593.0,25358.0,26190.0,5922.263157894737,0.5361145572681204,0.7677765555093065,0.5372290093992472,0.544189078369115,0.9873717141658083,0.20481927710843373,0.5060240963855421,0.2891566265060241,0.4097410950350285,0.701659256045982,0.31523809523809526,0.5371927523630674,19870.05725658085,25880,21677,331,53,17,42,24,132.0,1050,0.5906897299642121,0.4581239354879408,0.8312159017206516,21787,25770,4424,26211,47557,90,83
MOT16-05,0.5989316194205935,0.7185613752082459,0.4303691281065634,0.5989316194205935,0.597598316371579,0.5930397268037578,0.5874986881280515,0.5825995495505458,0.5778075072857202,0.567928549448666,0.559087109671511,0.543070103814298,0.5299681339091169,0.5139434880787491,0.47988085927363877,0.4383908571468539,0.3901994800496235,0.29812929603468963,0.19229098781087828,0.07391917959822049,0.0137464012599278,0.0005316742625738918,0.42834534357468396,0.6086134148115816,0.6069767441860465,0.6034807831762147,0.5979187743893626,0.5926246038605589,0.5864542976036734,0.5765007842578069,0.5657838833026484,0.5432719151312116,0.526228602981778,0.5062670299727521,0.46340172071475844,0.4026896726719107,0.33833676310374045,0.2447646926367935,0.14653116250129627,0.05365481749737921,0.008483079449055915,9.045680687471733e-05,0.4195827999502865,0.5894038416041638,0.5883647951109682,0.5827793152193572,0.5772601954248354,0.572744082721822,0.5692882068388587,0.5594837788366773,0.5524696008946585,0.5428683674650138,0.5337342390125407,0.5217363432747489,0.496946016389429,0.4772571949878045,0.4500120910133318,0.3631286694034352,0.2523410267284015,0.10183698999145546,0.022275348089540105,0.003125,0.43984500542142324,0.6135230272807275,0.612496333235553,0.6102962745673218,0.606776180698152,0.6034027574068642,0.5994426518040481,0.5929891463772368,0.5859489586388971,0.5708418891170431,0.559108242886477,0.5450278674097976,0.513493693165151,0.46553241419771196,0.40994426518040483,0.3188618363156351,0.2072455265473746,0.08257553534760927,0.013640363743033148,0.00014667057788207686,0.447962822868259,0.987022180273714,0.9853704577630958,0.9818310523831997,0.9761680037753657,0.9707409155261916,0.9643699858423784,0.9539877300613497,0.9426616328456819,0.9183577159037282,0.8994808872109485,0.8768286927796131,0.8260972156677678,0.7489381783860312,0.6595092024539877,0.512977819726286,0.3334119867862199,0.13284568192543653,0.0219443133553563,0.00023596035865974517,0.7206726112118428,0.6503594687088171,0.6499700624383975,0.6467411380563453,0.6432636264535171,0.6399620847625931,0.637635746216912,0.6311411661457672,0.6260941567603701,0.6183262637811217,0.6096910206577876,0.6002463994961417,0.5793452999049272,0.5619357612617762,0.5347094223369095,0.4592532376098101,0.3495572011323269,0.1650576404183152,0.040307310492048685,0.005780346820809248,0.5078619659712997,0.8444764616758866,0.8439881357218987,0.8408386020316022,0.8365024970284703,0.8326661655815317,0.8298884400740818,0.821466111966765,0.8144757350926768,0.8044737210297747,0.7978806456507468,0.7867309492319253,0.7566777435964734,0.7265285939097051,0.6913133211494673,0.5890122065060087,0.45088925726746026,0.2133893548251456,0.049035786863796636,0.006756756756756757,0.6598416045242197,0.7185613752082459,0.7196320637647812,0.7217515478481611,0.7249362790957526,0.7277337992212036,0.7306814256814635,0.7350699129246105,0.7394177545870391,0.7476494795692444,0.7533499451276077,0.7592165946868749,0.7704577962902881,0.7852693929047293,0.7999938698628926,0.8206868379680595,0.8448174938661828,0.8765324953521564,0.9160303663507903,0.9531795946890287,0.7813141065789007,0.6013425223546701,0.6003093199429402,0.5963791117848349,0.5918342138208558,0.58787359083634,0.5841708931025723,0.5759928892132888,0.5689630808091789,0.5566794449462038,0.5462739354414162,0.5332549545247774,0.5051521011136325,0.47135835006489574,0.4295112058756532,0.34027617363669843,0.22868438721047987,0.09170193000549967,0.017431117303374606,0.0006770122272762067,0.44357190706392574,4183.0,4176.0,4161.0,4137.0,4114.0,4087.0,4043.0,3995.0,3892.0,3812.0,3716.0,3501.0,3174.0,2795.0,2174.0,1413.0,563.0,93.0,1.0,3054.2105263157896,2635.0,2642.0,2657.0,2681.0,2704.0,2731.0,2775.0,2823.0,2926.0,3006.0,3102.0,3317.0,3644.0,4023.0,4644.0,5405.0,6255.0,6725.0,6817.0,3763.7894736842104,55.0,62.0,77.0,101.0,124.0,151.0,195.0,243.0,346.0,426.0,522.0,737.0,1064.0,1443.0,2064.0,2825.0,3675.0,4145.0,4237.0,1183.7894736842106,0.5391610442945145,0.7533907406155913,0.5462012320328542,0.583895570548548,0.9393581878244455,0.208,0.568,0.224,0.3951669900837004,0.7201519536903039,0.3070489844683393,0.5459546434090091,2999.248538390669,3981,2837,257,48,26,71,28,111.0,837,0.5821273516642547,0.4719859196245233,0.75932043416706,3218,3600,1020,4238,6818,92,125
MOT16-09,0.5927646151907162,0.7708010718087387,0.4569036007192986,0.5927646151907162,0.5925357002298114,0.5924661562112221,0.5909920298818262,0.5896506346437651,0.5873863142844818,0.5848796018013854,0.5814000219031563,0.5765357706261094,0.5686240996795429,0.5562069415030297,0.5422436438624821,0.5081906436730883,0.46166507643054083,0.38870949009340994,0.2560786801373536,0.11744763921719752,0.02740094687276601,0.0005896890539852923,0.4587246155418878,0.7061370481927711,0.7048532731376975,0.7045326311829979,0.7016522718738265,0.697508896797153,0.6937021117548122,0.6902275270421484,0.6848856664807585,0.6764705882352942,0.665686454695828,0.6451261571973135,0.6259418729817008,0.5756258692628651,0.5074850299401198,0.4083916083916084,0.2531803097345133,0.10713413144392867,0.022219715768102864,0.0002207261891623441,0.530051678436979,0.4975944682713716,0.4981158056965475,0.4982255338071431,0.49778443451922366,0.4984708761885631,0.49736432448782253,0.49561070111082073,0.4935509706399839,0.49136429667778353,0.48571420442092567,0.4795436649479,0.46973717848375707,0.448655531495809,0.4199821279866437,0.36997593629248393,0.25901023065203144,0.12875399997910472,0.03379034625645216,0.0015754051737572074,0.39814842300463815,0.7135248240441316,0.712763933802549,0.7125737112421533,0.7108617081985924,0.7083888149134487,0.7061061441887008,0.7040136960243485,0.7007799124976222,0.6956439033669393,0.6889861137530912,0.676050979646186,0.6636865132204679,0.62982689747004,0.5803690317671676,0.49990488871980215,0.3482975080844588,0.16682518546699637,0.0374738443979456,0.00038044512079132587,0.5608662134697596,0.9855491329479769,0.9844981607987389,0.9842354177614293,0.9818707304256438,0.9784550709406201,0.9753021544929059,0.9724119810825013,0.9679453494482396,0.9608512874408828,0.9516552811350499,0.9337887545980031,0.9167104571728849,0.869942196531792,0.801629006831319,0.6904887020493957,0.48108250131371516,0.23042564372044141,0.051760378349973726,0.0005254860746190226,0.7746909312166385,0.5761422522491193,0.5767470305863535,0.5766531105655354,0.5767515413166784,0.5775438153336816,0.5767643936013761,0.5756627420226258,0.5745166709623393,0.5729471835246059,0.5692902445671468,0.5625322788210941,0.5533378264052468,0.5358949937830094,0.5142980039620669,0.4744605801721394,0.3756978703760542,0.21442552302578397,0.06340933215230034,0.003732174688057041,0.4763582930586955,0.8559483825629408,0.8565785649836112,0.8567832962683335,0.8559169635693862,0.8565251406802574,0.8551329984984257,0.8532611623371534,0.8520344051958101,0.8499487843003953,0.845867189183227,0.8379681335802888,0.8293210379540938,0.7976907711930012,0.7517552595948134,0.6671384920300368,0.49262890013421234,0.28061994381085675,0.07818200434649468,0.002770184071441589,0.6987406112786726,0.7708010718087387,0.7715566699083184,0.7717268277992054,0.7731429530181384,0.7750756617392783,0.776698562233663,0.7780364083429151,0.779903702511963,0.7825173007926958,0.7854744127253857,0.7905432182527137,0.7945513014729405,0.8035533287043982,0.814330895053908,0.8285376577506511,0.8517752489645423,0.8813504672441871,0.9151656908057679,0.9516524825314387,0.8103365190347817,0.5958573700296604,0.5958514757533939,0.5958375765765019,0.5948578766705588,0.5942315990016727,0.5926145504635489,0.5906917313440637,0.5881076483248662,0.5846491061449458,0.5784897078588763,0.5693820900512679,0.558353141047765,0.5315781423598765,0.49370499387703487,0.43006136685512547,0.3003541541322235,0.14655855459894448,0.035584465399482845,0.0007741803482557152,0.4725020910967403,3751.0,3747.0,3746.0,3737.0,3724.0,3712.0,3701.0,3684.0,3657.0,3622.0,3554.0,3489.0,3311.0,3051.0,2628.0,1831.0,877.0,197.0,2.0,2948.4736842105262,1506.0,1510.0,1511.0,1520.0,1533.0,1545.0,1556.0,1573.0,1600.0,1635.0,1703.0,1768.0,1946.0,2206.0,2629.0,3426.0,4380.0,5060.0,5255.0,2308.5263157894738,55.0,59.0,60.0,69.0,82.0,94.0,105.0,122.0,149.0,184.0,252.0,317.0,495.0,755.0,1178.0,1975.0,2929.0,3609.0,3804.0,857.5263157894736,0.658550504089785,0.7854370892637221,0.6634962906600723,0.6937416777629827,0.9582238570677877,0.4,0.48,0.12,0.5096992704098905,0.8048107690610173,0.3028571428571429,0.6632271308069296,2864.4890645447945,3647,1610,159,26,10,12,3,70.0,525,0.5949464857111332,0.5128400228267073,0.7083552285864425,2696,2561,1110,3806,5257,34,25
MOT16-10,0.49944394889115207,0.7303867706306678,0.3647872529416369,0.49944394889115207,0.49944394889115207,0.49944394889115207,0.49937671817355567,0.49743169128848186,0.49365862184723175,0.48826833712425033,0.4811945515765564,0.47427326729131,0.4661826311610512,0.4515073651940394,0.43387894949512595,0.3922955045647799,0.3317122609082542,0.24825580808771103,0.15555213760997877,0.06527246862195535,0.012871728859526723,0.000632113870710181,0.3679313685446303,0.44728357246493633,0.44728357246493633,0.44728357246493633,0.4469336771697961,0.4450704225352113,0.44216867469879517,0.4369747899159664,0.42931061932813247,0.4219529579472559,0.4118895966029724,0.3945631067961165,0.3707153217802886,0.33049277510188957,0.2671136203246295,0.18710743801652893,0.10970333745364648,0.04183590576766856,0.007519218899051681,0.00016711229946524063,0.3202825943174855,0.5576870545665799,0.5576870545665799,0.5576870545665799,0.5579734072244664,0.5559531143153951,0.5511445040517977,0.5455828906832998,0.5393488677949178,0.5330810646794689,0.5276322766795327,0.5166699504163326,0.5078045922433293,0.4656554529952729,0.41193340834937564,0.3293880077810588,0.22056272923563183,0.10183824353330298,0.02203439028142521,0.0023910145861365376,0.4243186883447622,0.4504789738593928,0.4504789738593928,0.4504789738593928,0.45023542782919307,0.4489365156681279,0.4469069654164637,0.4432537749634681,0.43781458028900794,0.43253774963468095,0.4252313687286897,0.4124046111381718,0.3942198408832603,0.36207176489689885,0.3072739081019646,0.22974508848839098,0.14409806786816043,0.05853222925799643,0.010878389348920279,0.00024354603019970775,0.3345168815853565,0.9843888593223346,0.9843888593223346,0.9843888593223346,0.9838566613446869,0.9810182721305659,0.9765832889835019,0.9686003193187865,0.956714564484655,0.9451836083022884,0.929217668972858,0.9011885754834131,0.8614511264857193,0.791200993436225,0.6714564484654958,0.5020400922476494,0.31488380344154693,0.12790491396132694,0.02377150966826326,0.0005321979776476849,0.7309879275090334,0.5975736088314256,0.5975736088314256,0.5975736088314256,0.5978816005602415,0.5966016127136754,0.5932634707881315,0.5892363753211022,0.5842553642236497,0.5796869618968125,0.5763037553831071,0.5695321730678173,0.5667962904125684,0.5400355723251261,0.501759869653156,0.4342648594685323,0.31874541180327687,0.15849121183114942,0.03907138599964077,0.004096349152414392,0.4759338468997199,0.8984453976883389,0.8984453976883389,0.8984453976883389,0.898052382216479,0.896673252546037,0.8937811955366612,0.8883011194862311,0.8811479808243506,0.8732517384592384,0.8621064674212945,0.8429701243201065,0.8163708158316012,0.7609272695401522,0.6739488206148438,0.5613199624694604,0.4152920456934723,0.22161924758469104,0.05063585748207585,0.006021306160259379,0.6967239883816827,0.7303867706306678,0.7303867706306678,0.7303867706306678,0.7306828537722301,0.7321317621030484,0.734206239180558,0.7375558953316462,0.7419982910778615,0.7458413744779951,0.7504718311993557,0.7573980274332983,0.765805221625897,0.7780671823273004,0.7961462648507679,0.81978536309514,0.846558449603649,0.8803784594756001,0.9160945648950688,0.966592044836606,0.783730217746212,0.5012247919604736,0.5012247919604736,0.5012247919604736,0.5012179124083856,0.4995874838460206,0.49629660265989206,0.49176384154475383,0.4859370310883742,0.48018505192198274,0.4736726667202494,0.4616027187833994,0.4474222229102553,0.41061014563678694,0.3557757555838721,0.2750913975293924,0.17827692819482494,0.07720634311844436,0.01548220515777415,0.0007631003280061875,0.3765560938586229,5549.0,5549.0,5549.0,5546.0,5530.0,5505.0,5460.0,5393.0,5328.0,5238.0,5080.0,4856.0,4460.0,3785.0,2830.0,1775.0,721.0,134.0,3.0,4120.578947368421,6769.0,6769.0,6769.0,6772.0,6788.0,6813.0,6858.0,6925.0,6990.0,7080.0,7238.0,7462.0,7858.0,8533.0,9488.0,10543.0,11597.0,12184.0,12315.0,8197.421052631578,88.0,88.0,88.0,91.0,107.0,132.0,177.0,244.0,309.0,399.0,557.0,781.0,1177.0,1852.0,2807.0,3862.0,4916.0,5503.0,5634.0,1516.421052631579,0.40826432862477674,0.750834035413834,0.4105374249066407,0.43408020782594575,0.9485541954940572,0.2222222222222222,0.2777777777777778,0.5,0.30010631493406154,0.595600111389585,0.4434250764525994,0.4104199417087724,4014.70958735777,5347,6971,290,28,12,15,27,119.0,654,0.47897521581732105,0.3490826432862478,0.7628171012950151,4300,8018,1337,5637,12318,51,54
